product,console,variant,type,source,market_price,old_price,new_price,diff,profit,status,notes
Minority Report - PS2 Game,Playstation 2,game only,loose,pc,5.82,8.19,7.99,-0.20,1.64,NO_CHANGE,
Minority Report - PS2 Game,Playstation 2,complete (cib),cib,pc,8.97,12.99,12.99,0.00,3.34,NO_CHANGE,
Miss Spiders Tea Party - PS1 Game,Playstation,game only,loose,ebay(10),8.71,7.98,11.99,4.01,2.63,APPLIED,
Mission Impossible - Nintendo 64 Game,Nintendo 64,game only,loose,pc,8.07,10.99,10.99,0.00,2.30,NO_CHANGE,
Mission Impossible - Nintendo 64 Game,Nintendo 64,complete (cib),cib,pc,32.39,43.99,43.99,0.00,10.02,NO_CHANGE,
Mission Impossible Operation Surma - PS2 Game,Playstation 2,game only,loose,pc,4.51,6.88,6.99,0.11,1.98,NO_CHANGE,
Mission Impossible Operation Surma - PS2 Game,Playstation 2,complete (cib),cib,pc,7.23,9.99,9.99,0.00,2.17,NO_CHANGE,
Mister Mosquito - PS2 Game,Playstation 2,,,,,,,,,NO_MATCH,PC and eBay both failed
MLB 07 The Show - PS2 Game,Playstation 2,game only,loose,ebay(66),5.51,6.56,7.99,1.43,1.95,APPLIED,
MLB 07 The Show - PS2 Game,Playstation 2,complete (cib),cib,ebay(11),5.51,10.99,7.99,-3.00,1.95,APPLIED,
MLB 08 The Show - PS2 Game,Playstation 2,game only,loose,pc,3.76,5.99,5.99,0.00,1.76,NO_CHANGE,
MLB 08 The Show - PS2 Game,Playstation 2,complete (cib),cib,pc,5.75,7.99,7.99,0.00,1.71,NO_CHANGE,
MLB 09: The Show - PS2 Game,Playstation 2,game only,loose,ebay(54),6.43,6.65,8.99,2.34,2.00,APPLIED,
MLB 09: The Show - PS2 Game,Playstation 2,complete (cib),cib,ebay(17),7.87,10.99,10.99,0.00,2.50,NO_CHANGE,
MLB 09: The Show - PSP Game,PSP,game only,loose,ebay(55),9.10,7.50,12.99,5.49,3.21,APPLIED,
MLB 09: The Show - PSP Game,PSP,complete (cib),cib,ebay(6),6.33,12.99,8.99,-4.00,2.10,APPLIED,
MLB 10 The Show - PS2 Game,Playstation 2,game only,loose,ebay(54),7.58,9.31,10.99,1.68,2.79,APPLIED,
MLB 10 The Show - PS2 Game,Playstation 2,complete (cib),cib,ebay(7),10.11,15.99,13.99,-2.00,3.17,APPLIED,
MLB 11: The Show - PS2 Game,Playstation 2,game only,loose,ebay(36),11.95,10.93,16.99,6.06,4.25,APPLIED,
MLB 11: The Show - PS2 Game,Playstation 2,complete (cib),cib,ebay(7),9.20,18.99,12.99,-6.00,3.11,APPLIED,
MLB 2000 - PS1 Game,Playstation,game only,loose,ebay(57),5.51,7.64,7.99,0.35,1.95,NO_CHANGE,
MLB 2000 - PS1 Game,Playstation,complete (cib),cib,ebay(10),5.52,12.99,7.99,-5.00,1.94,APPLIED,
MLB 98 - PS1 Game,Playstation,game only,loose,ebay(4),5.20,6.99,7.99,1.00,2.26,APPLIED,
MLB 99 - PS1 Game,Playstation,game only,loose,ebay(76),1.65,9.48,2.99,-6.49,0.95,APPLIED,
MLB Slugfest 2004 - GBA Game,Gameboy Advance,game only,loose,ebay(8),14.93,15.60,20.99,5.39,5.15,APPLIED,
MLB Slugfest 2006 - PS2 Game,Playstation 2,game only,loose,ebay(36),11.04,17.02,14.99,-2.03,3.22,APPLIED,
MLB Slugfest 2006 - PS2 Game,Playstation 2,complete (cib),cib,ebay(13),13.28,29.99,17.99,-12.00,3.89,APPLIED,
MLB Slugfest Loaded - PS2 Game,Playstation 2,,,,,,,,,NO_MATCH,PC and eBay both failed
Mobil 1 Rally Championship - PS1 Game,Playstation,game only,loose,ebay(14),9.96,9.50,13.99,4.49,3.32,APPLIED,
Mobile Light Force - PS1 Game,Playstation,game only,loose,pc,15.00,20.99,20.99,0.00,5.08,NO_CHANGE,
Mobile Light Force - PS1 Game,Playstation,complete (cib),cib,pc,25.99,35.99,35.99,0.00,8.66,NO_CHANGE,
Mobile Suit Gundam Seed Battle Assault - GBA Game,Gameboy Advance,game only,loose,pc,35.74,34.73,48.99,14.26,11.53,APPLIED,
Mobile Suit Gundam Seed Battle Assault - GBA Game,Gameboy Advance,complete (cib),cib,pc,103.45,61.99,139.99,78.00,32.18,APPLIED,
Monopoly - SNES Game,SNES,game only,loose,ebay(80),7.10,9.41,9.99,0.58,2.30,APPLIED,
Monster 4x4 Masters of Metal - PS2 Game,Playstation 2,,,,,,,,,NO_MATCH,PC and eBay both failed
Monster House - GBA Game,Gameboy Advance,game only,loose,pc,8.55,12.25,11.99,-0.26,2.79,NO_CHANGE,
Monster House - GBA Game,Gameboy Advance,complete (cib),cib,pc,23.78,32.99,32.99,0.00,7.95,NO_CHANGE,
Monster Lab - PS2 Game,Playstation 2,game only,loose,pc,9.28,13.28,12.99,-0.29,3.03,NO_CHANGE,
Monster Lab - PS2 Game,Playstation 2,complete (cib),cib,pc,10.99,14.99,14.99,0.00,3.27,NO_CHANGE,
Monster Party - NES Game,NES,game only,loose,ebay(88),25.73,28.99,34.99,6.00,7.95,APPLIED,
Monster Rancher 4 - PS2 Game,Playstation 2,game only,loose,ebay(26),49.94,94.98,67.99,-26.99,15.78,APPLIED,
Monster Rancher 4 - PS2 Game,Playstation 2,complete (cib),cib,ebay(5),91.95,169.99,124.99,-45.00,29.12,APPLIED,
Monster Rancher Hop-A-Bout - PS1 Game,Playstation,,,,,,,,,NO_MATCH,PC and eBay both failed
Montezuma's Revenge - Sega Master System Game,Sega Master System,game only,loose,ebay(4),80.00,109.37,108.99,-0.38,25.53,NO_CHANGE,
Montezuma's Revenge - Sega Master System Game,Sega Master System,complete (cib),cib,ebay(5),128.75,195.99,173.99,-22.00,39.89,APPLIED,
Mortal Kombat - SNES Game,SNES,game only,loose,ebay(9),5.31,18.84,7.99,-10.85,2.15,APPLIED,
Mortal Kombat 3 - SNES Game,SNES,game only,loose,ebay(75),12.41,16.68,16.99,0.31,3.79,NO_CHANGE,
Mortal Kombat Deception - Gamecube Game,Gamecube,game only,loose,ebay(43),45.99,60.42,62.99,2.57,14.87,APPLIED,
Mortal Kombat Deception - Gamecube Game,Gamecube,complete (cib),cib,ebay(6),79.37,107.99,107.99,0.00,25.19,NO_CHANGE,
Mortal Kombat Deception - PS2 Game,Playstation 2,game only,loose,pc,12.99,17.56,17.99,0.43,4.18,NO_CHANGE,
Mortal Kombat Deception - PS2 Game,Playstation 2,complete (cib),cib,pc,17.40,23.99,23.99,0.00,5.59,NO_CHANGE,
Mortal Kombat II - SNES Game,SNES,game only,loose,ebay(87),17.93,23.90,24.99,1.09,6.04,APPLIED,
Mortal Kombat Mythologies: Sub-Zero - Nintendo 64 Game,Nintendo 64,game only,loose,pc,22.70,30.99,30.99,0.00,7.09,NO_CHANGE,
Mortal Kombat Mythologies: Sub-Zero - Nintendo 64 Game,Nintendo 64,complete (cib),cib,pc,87.80,118.99,118.99,0.00,27.44,NO_CHANGE,
Mortal Kombat Tournament Edition - GBA Game,Gameboy Advance,game only,loose,ebay(10),64.37,80.16,86.99,6.83,19.80,APPLIED,
Mortal Kombat Trilogy - Nintendo 64 Game,Nintendo 64,game only,loose,pc,35.52,47.99,47.99,0.00,10.78,NO_CHANGE,
Mortal Kombat Trilogy - Nintendo 64 Game,Nintendo 64,complete (cib),cib,pc,76.75,103.99,103.99,0.00,23.92,NO_CHANGE,
Mother 1+2 [Homebrew] - GBA Game,Gameboy Advance,,,,,,,,,NO_MATCH,PC and eBay both failed
Mother 3 [Homebrew] - GBA Game,Gameboy Advance,,,,,,,,,NO_MATCH,PC and eBay both failed
Moto GP 07 - PS2 Game,Playstation 2,game only,loose,ebay(12),7.59,10.99,10.99,0.00,2.78,NO_CHANGE,
Motocross Mania 3 - Xbox Game,Xbox,game only,loose,pc,4.67,6.97,6.99,0.02,1.82,NO_CHANGE,
Motocross Mania 3 - Xbox Game,Xbox,complete (cib),cib,pc,8.99,12.99,12.99,0.00,3.32,NO_CHANGE,
Motor City Patrol - NES Game,NES,,,,,,,,,NO_MATCH,PC and eBay both failed
Mouse Trap / Operation / Simon - GBA Game,Gameboy Advance,game only,loose,ebay(78),5.98,7.09,8.99,1.90,2.45,APPLIED,
Mouse Trap Hotel - Gameboy Game,Gameboy,game only,loose,ebay(41),13.29,15.21,17.99,2.78,3.88,APPLIED,
Mouse Trap Hotel - Gameboy Game,Gameboy,complete (cib),cib,ebay(4),165.59,26.99,223.99,197.00,51.60,APPLIED,
Mr. Chin's Gourmet Paradise - Gameboy Game,Gameboy,game only,loose,ebay(25),18.35,18.79,24.99,6.20,5.62,APPLIED,
Ms. Pac-Man - SNES Game,SNES,game only,loose,ebay(48),9.19,15.94,12.99,-2.95,3.12,APPLIED,
Ms. Pac-Man [Namco] - NES Game,NES,game only,loose,ebay(9),55.19,79.90,74.99,-4.91,17.33,APPLIED,
Ms. Pac-Man [Tengen] - NES Game,NES,game only,loose,ebay(49),18.40,39.99,24.99,-15.00,5.57,APPLIED,
MTV Celebrity Deathmatch - Xbox Game,Xbox,game only,loose,ebay(48),9.20,7.89,12.99,5.10,3.11,APPLIED,
MTV Celebrity Deathmatch - Xbox Game,Xbox,complete (cib),cib,ebay(35),13.79,13.99,18.99,5.00,4.35,APPLIED,
MTV Remote Control - NES Game,NES,game only,loose,ebay(71),9.96,10.88,13.99,3.11,3.32,APPLIED,
MTX Mototrax - PS2 Game,Playstation 2,game only,loose,pc,10.75,14.55,14.99,0.44,3.51,NO_CHANGE,
MTX Mototrax - PS2 Game,Playstation 2,complete (cib),cib,pc,17.39,23.99,23.99,0.00,5.60,NO_CHANGE,
Mucha Lucha: Mascaritas of the Lost Code - GBA Game,Gameboy Advance,game only,loose,ebay(16),9.17,9.74,12.99,3.25,3.14,APPLIED,
Muhammad Ali Heavyweight Boxing - Sega Genesis Game,Sega Genesis,game only,loose,ebay(42),13.65,13.02,18.99,5.97,4.49,APPLIED,
Muhammad Ali Heavyweight Boxing - Sega Genesis Game,Sega Genesis,complete (cib),cib,ebay(6),26.16,22.99,35.99,13.00,8.49,APPLIED,
Muppet Adventure - NES Game,NES,game only,loose,ebay(61),13.70,19.99,18.99,-1.00,4.44,APPLIED,
Muppet Adventure - NES Game,NES,complete (cib),cib,ebay(5),57.95,34.99,78.99,44.00,18.45,APPLIED,
Muppets Party Cruise - Gamecube Game,Gamecube,game only,loose,ebay(8),27.13,34.99,36.99,2.00,8.49,APPLIED,
Muppets Party Cruise - Gamecube Game,Gamecube,complete (cib),cib,ebay(5),24.83,61.99,33.99,-28.00,7.87,APPLIED,
MUSCLE - NES Game,NES,game only,loose,ebay(19),12.87,24.81,17.99,-6.82,4.30,APPLIED,
Mutant League Football - Sega Genesis Game,Sega Genesis,game only,loose,ebay(70),22.95,28.62,30.99,2.37,6.84,APPLIED,
Mutant League Football - Sega Genesis Game,Sega Genesis,complete (cib),cib,ebay(10),57.04,50.99,77.99,27.00,18.39,APPLIED,
Mutant League Hockey - Sega Genesis Game,Sega Genesis,game only,loose,ebay(14),42.77,108.29,57.99,-50.30,13.24,APPLIED,
Mutant Virus - NES Game,NES,game only,loose,ebay(20),54.50,66.03,73.99,7.96,17.04,APPLIED,
MVP Baseball - PSP Game,PSP,game only,loose,ebay(54),9.17,9.57,12.99,3.42,3.14,APPLIED,
MVP Baseball - PSP Game,PSP,complete (cib),cib,ebay(12),10.48,16.99,14.99,-2.00,3.78,APPLIED,
MVP Baseball 2003 - PS2 Game,Playstation 2,game only,loose,ebay(56),4.60,7.60,6.99,-0.61,1.89,APPLIED,
MVP Baseball 2003 - PS2 Game,Playstation 2,complete (cib),cib,ebay(16),5.27,12.99,7.99,-5.00,2.19,APPLIED,
MVP Baseball 2003 - Xbox Game,Xbox,game only,loose,ebay(52),7.81,5.41,10.99,5.58,2.56,APPLIED,
MVP Baseball 2003 - Xbox Game,Xbox,complete (cib),cib,ebay(18),8.95,8.99,12.99,4.00,3.36,APPLIED,
MVP Baseball 2004 - Gamecube Game,Gamecube,game only,loose,ebay(48),9.13,4.77,12.99,8.22,3.18,APPLIED,
MVP Baseball 2004 - Gamecube Game,Gamecube,complete (cib),cib,ebay(15),11.91,7.99,16.99,9.00,4.29,APPLIED,
MX vs ATV Untamed - PSP Game,PSP,game only,loose,pc,5.95,9.42,8.99,-0.43,2.48,NO_CHANGE,
MX vs ATV Untamed - PSP Game,PSP,complete (cib),cib,pc,8.84,11.99,11.99,0.00,2.50,NO_CHANGE,
MX World Tour - Xbox Game,Xbox,game only,loose,ebay(48),5.52,5.16,7.99,2.83,1.94,APPLIED,
MX World Tour - Xbox Game,Xbox,complete (cib),cib,ebay(27),5.87,8.99,7.99,-1.00,1.59,APPLIED,
My Disney Kitchen - PS1 Game,Playstation,,,,,,,,,NO_MATCH,PC and eBay both failed
My Spanish Coach - PSP Game,PSP,game only,loose,ebay(22),8.12,9.47,10.99,1.52,2.25,APPLIED,
My Spanish Coach - PSP Game,PSP,complete (cib),cib,ebay(5),9.19,16.99,12.99,-4.00,3.12,APPLIED,
My Street - PS2 Game,Playstation 2,game only,loose,pc,8.07,11.21,10.99,-0.22,2.30,NO_CHANGE,
My Street - PS2 Game,Playstation 2,complete (cib),cib,pc,8.20,11.99,11.99,0.00,3.14,NO_CHANGE,
Myst 3 Exile - PS2 Game,Playstation 2,game only,loose,pc,5.73,7.58,7.99,0.41,1.73,NO_CHANGE,
Myst 3 Exile - PS2 Game,Playstation 2,complete (cib),cib,pc,7.07,9.99,9.99,0.00,2.33,NO_CHANGE,
Myst IV Revelation - Xbox Game,Xbox,game only,loose,ebay(30),10.04,10.94,13.99,3.05,3.24,APPLIED,
Myst IV Revelation - Xbox Game,Xbox,complete (cib),cib,ebay(22),11.95,18.99,16.99,-2.00,4.25,APPLIED,
Mystery Quest - NES Game,NES,game only,loose,ebay(78),11.96,15.30,16.99,1.69,4.24,APPLIED,
Mystery Quest - NES Game,NES,complete (cib),cib,ebay(6),63.02,26.99,85.99,59.00,20.18,APPLIED,
Mystic Defender - Sega Genesis Game,Sega Genesis,game only,loose,ebay(58),27.59,30.80,37.99,7.19,9.00,APPLIED,
Mystic Defender - Sega Genesis Game,Sega Genesis,complete (cib),cib,ebay(11),49.85,54.99,67.99,13.00,15.87,APPLIED,
N2O Nitrous Oxide - PS1 Game,Playstation,game only,loose,ebay(10),17.51,13.41,23.99,10.58,5.48,APPLIED,
Namco Museum - Nintendo 64 Game,Nintendo 64,game only,loose,ebay(5),7.13,15.23,9.99,-5.24,2.27,APPLIED,
Namco Museum - Sega Dreamcast Game,Sega Dreamcast,game only,loose,ebay(42),15.87,16.98,21.99,5.01,5.18,APPLIED,
Namco Museum - Sega Dreamcast Game,Sega Dreamcast,complete (cib),cib,ebay(8),19.50,29.99,26.99,-3.00,6.41,APPLIED,
Nancy Drew Message in a Haunted Mansion - GBA Game,Gameboy Advance,game only,loose,ebay(16),17.01,19.71,22.99,3.28,5.01,APPLIED,
NASCAR 2001 - PS2 Game,Playstation 2,game only,loose,ebay(51),6.41,6.57,8.99,2.42,2.02,APPLIED,
NASCAR Chase for the Cup 2005 - Gamecube Game,Gamecube,game only,loose,ebay(40),11.13,10.96,15.99,5.03,4.10,APPLIED,
NASCAR Chase for the Cup 2005 - Gamecube Game,Gamecube,complete (cib),cib,ebay(12),9.79,18.99,13.99,-5.00,3.49,APPLIED,
NASCAR Dirt to Daytona - Gamecube Game,Gamecube,game only,loose,ebay(15),15.63,15.08,21.99,6.91,5.42,APPLIED,
NASCAR Dirt to Daytona - Gamecube Game,Gamecube,complete (cib),cib,ebay(9),22.99,26.99,31.99,5.00,7.77,APPLIED,
NASCAR Dirt to Daytona - PS2 Game,Playstation 2,,,,,,,,,NO_MATCH,PC and eBay both failed
NASCAR Heat - Gameboy Color Game,Gameboy Color,game only,loose,ebay(13),11.04,8.02,14.99,6.97,3.22,APPLIED,
NASCAR Heat 2002 - PS2 Game,Playstation 2,game only,loose,ebay(62),6.43,7.28,8.99,1.71,2.00,APPLIED,
NASCAR Heat 2002 - PS2 Game,Playstation 2,complete (cib),cib,ebay(21),7.82,12.99,10.99,-2.00,2.55,APPLIED,
NASCAR Heat 2002 - Xbox Game,Xbox,game only,loose,ebay(47),7.35,7.74,9.99,2.25,2.05,APPLIED,
NASCAR Heat 2002 - Xbox Game,Xbox,complete (cib),cib,ebay(23),9.19,12.99,12.99,0.00,3.12,NO_CHANGE,
NASCAR Racers - Gameboy Color Game,Gameboy Color,game only,loose,ebay(6),10.11,5.73,13.99,8.26,3.17,APPLIED,
NASCAR Thunder 2002 - PS2 Game,Playstation 2,game only,loose,ebay(59),7.19,10.34,9.99,-0.35,2.21,NO_CHANGE,
NASCAR Thunder 2002 - PS2 Game,Playstation 2,complete (cib),cib,ebay(5),4.59,17.99,6.99,-11.00,1.90,APPLIED,
NASCAR Thunder 2003 - Gamecube Game,Gamecube,game only,loose,ebay(45),9.19,6.68,12.99,6.31,3.12,APPLIED,
NASCAR Thunder 2003 - Gamecube Game,Gamecube,complete (cib),cib,ebay(28),11.61,11.99,15.99,4.00,3.62,APPLIED,
NASCAR Thunder 2003 - PS2 Game,Playstation 2,game only,loose,pc,6.20,8.87,8.99,0.12,2.23,NO_CHANGE,
NASCAR Thunder 2003 - PS2 Game,Playstation 2,complete (cib),cib,pc,8.94,12.99,12.99,0.00,3.37,NO_CHANGE,
NASCAR Thunder 2003 - Xbox Game,Xbox,game only,loose,ebay(41),7.35,10.90,9.99,-0.91,2.05,APPLIED,
NASCAR Thunder 2003 - Xbox Game,Xbox,complete (cib),cib,ebay(22),9.20,18.99,12.99,-6.00,3.11,APPLIED,
NASCAR Thunder 2004 - PS2 Game,Playstation 2,game only,loose,ebay(64),8.68,14.27,11.99,-2.28,2.66,APPLIED,
NASCAR Thunder 2004 - PS2 Game,Playstation 2,complete (cib),cib,ebay(14),13.57,24.99,18.99,-6.00,4.57,APPLIED,
NASCAR Thunder 2004 - Xbox Game,Xbox,game only,loose,ebay(36),9.19,11.69,12.99,1.30,3.12,APPLIED,
NASCAR Thunder 2004 - Xbox Game,Xbox,complete (cib),cib,ebay(19),12.88,20.99,17.99,-3.00,4.29,APPLIED,
Navy Seals - Gameboy Game,Gameboy,game only,loose,pc,13.56,19.34,18.99,-0.35,4.58,NO_CHANGE,
Navy Seals - Gameboy Game,Gameboy,complete (cib),cib,pc,99.11,133.99,133.99,0.00,30.69,NO_CHANGE,
NBA 06 - PS2 Game,Playstation 2,game only,loose,pc,3.94,5.99,5.99,0.00,1.58,NO_CHANGE,
NBA 06 - PS2 Game,Playstation 2,complete (cib),cib,pc,6.99,9.99,9.99,0.00,2.41,NO_CHANGE,
NBA 09 The Inside - PS2 Game,Playstation 2,game only,loose,pc,2.79,8.87,3.99,-4.88,0.78,APPLIED,
NBA 09 The Inside - PS2 Game,Playstation 2,complete (cib),cib,pc,7.95,14.99,10.99,-4.00,2.42,APPLIED,
NBA 09 The Inside - PSP Game,PSP,game only,loose,pc,7.24,5.28,9.99,4.71,2.16,APPLIED,
NBA 09 The Inside - PSP Game,PSP,complete (cib),cib,pc,8.22,8.99,11.99,3.00,3.12,APPLIED,
NBA 10: The Inside - PSP Game,PSP,game only,loose,pc,6.75,8.53,9.99,1.46,2.65,APPLIED,
NBA 10: The Inside - PSP Game,PSP,complete (cib),cib,pc,8.25,14.99,11.99,-3.00,3.09,APPLIED,
NBA 2K11 - PSP Game,PSP,game only,loose,pc,12.88,17.99,17.99,0.00,4.29,NO_CHANGE,
NBA 2K11 - PSP Game,PSP,complete (cib),cib,pc,16.43,22.99,22.99,0.00,5.59,NO_CHANGE,
NBA 2K3 - Gamecube Game,Gamecube,game only,loose,pc,7.50,10.65,10.99,0.34,2.87,NO_CHANGE,
NBA 2K3 - Gamecube Game,Gamecube,complete (cib),cib,pc,10.84,14.99,14.99,0.00,3.42,NO_CHANGE,
NBA 2K7 - PS2 Game,Playstation 2,game only,loose,pc,4.21,5.99,5.99,0.00,1.31,NO_CHANGE,
NBA 2K7 - PS2 Game,Playstation 2,complete (cib),cib,pc,7.50,10.99,10.99,0.00,2.87,NO_CHANGE,
NBA 3 on 3 Featuring Kobe Bryant - Gameboy Color Game,Gameboy Color,game only,loose,ebay(38),9.20,10.66,12.99,2.33,3.11,APPLIED,
NBA Action '95 starring David Robinson - Sega Genesis Game,Sega Genesis,game only,loose,ebay(81),7.35,7.19,9.99,2.80,2.05,APPLIED,
NBA Action '95 starring David Robinson - Sega Genesis Game,Sega Genesis,complete (cib),cib,ebay(9),12.42,11.99,16.99,5.00,3.78,APPLIED,
NBA Action 94 - Sega Genesis Game,Sega Genesis,game only,loose,ebay(65),8.27,8.40,11.99,3.59,3.07,APPLIED,
NBA Action 94 - Sega Genesis Game,Sega Genesis,complete (cib),cib,ebay(15),9.19,14.99,12.99,-2.00,3.12,APPLIED,
NBA All-Star Challenge - Sega Genesis Game,Sega Genesis,game only,loose,ebay(69),6.43,6.00,8.99,2.99,2.00,APPLIED,
NBA All-Star Challenge - Sega Genesis Game,Sega Genesis,complete (cib),cib,ebay(9),10.64,9.99,14.99,5.00,3.62,APPLIED,
NBA Ballers - PS2 Game,Playstation 2,game only,loose,pc,9.68,14.40,13.99,-0.41,3.60,NO_CHANGE,
NBA Ballers - PS2 Game,Playstation 2,complete (cib),cib,pc,11.00,14.99,14.99,0.00,3.26,NO_CHANGE,
NBA Ballers Phenom - PS2 Game,Playstation 2,,,,,,,,,NO_MATCH,PC and eBay both failed
NBA Ballers Phenom - Xbox Game,Xbox,game only,loose,ebay(49),8.47,10.83,11.99,1.16,2.87,APPLIED,
NBA Ballers Phenom - Xbox Game,Xbox,complete (cib),cib,ebay(18),9.20,18.99,12.99,-6.00,3.11,APPLIED,
NBA Hang Time - PS1 Game,Playstation,,,,,,,,,NO_MATCH,PC and eBay both failed
NBA Hang Time - Sega Genesis Game,Sega Genesis,game only,loose,pc,9.00,13.02,12.99,-0.03,3.31,NO_CHANGE,
NBA Hang Time - Sega Genesis Game,Sega Genesis,complete (cib),cib,pc,24.99,33.99,33.99,0.00,7.71,NO_CHANGE,
NBA In the Zone '99 - PS1 Game,Playstation,game only,loose,ebay(24),13.31,18.60,17.99,-0.61,3.86,APPLIED,
NBA Inside Drive 2003 - Xbox Game,Xbox,game only,loose,pc,4.49,6.81,6.99,0.18,2.00,NO_CHANGE,
NBA Inside Drive 2003 - Xbox Game,Xbox,complete (cib),cib,pc,8.95,12.99,12.99,0.00,3.36,NO_CHANGE,
NBA Jam - SNES Game,SNES,game only,loose,ebay(55),8.74,19.73,11.99,-7.74,2.60,APPLIED,
NBA Jam 2002 - GBA Game,Gameboy Advance,game only,loose,pc,12.95,18.13,17.99,-0.14,4.22,NO_CHANGE,
NBA Jam 2002 - GBA Game,Gameboy Advance,complete (cib),cib,pc,30.66,41.99,41.99,0.00,9.81,NO_CHANGE,
NBA Jam Tournament Edition - Sega Genesis Game,Sega Genesis,game only,loose,ebay(52),11.95,13.17,16.99,3.82,4.25,APPLIED,
NBA Jam Tournament Edition - SNES Game,SNES,game only,loose,ebay(74),17.94,22.24,24.99,2.75,6.03,APPLIED,
NBA Live 95 - Sega Genesis Game,Sega Genesis,game only,loose,ebay(49),7.31,6.60,9.99,3.39,2.09,APPLIED,
NBA Live 96 - Sega Genesis Game,Sega Genesis,game only,loose,ebay(48),6.44,8.37,8.99,0.62,1.99,APPLIED,
NBA Live 97 - Sega Genesis Game,Sega Genesis,game only,loose,ebay(61),9.19,10.86,12.99,2.13,3.12,APPLIED,
NBA Live 97 - Sega Genesis Game,Sega Genesis,complete (cib),cib,ebay(13),10.11,18.99,13.99,-5.00,3.17,APPLIED,
NBA Live 98 - Sega Genesis Game,Sega Genesis,game only,loose,ebay(21),18.17,15.36,24.99,9.63,5.80,APPLIED,
NBA Live 98 - Sega Genesis Game,Sega Genesis,complete (cib),cib,ebay(4),22.07,26.99,29.99,3.00,6.75,APPLIED,
NBA ShootOut 2000 - PS1 Game,Playstation,game only,loose,ebay(53),6.43,8.23,8.99,0.76,2.00,APPLIED,
NBA ShootOut 2000 - PS1 Game,Playstation,complete (cib),cib,ebay(6),3.88,13.99,5.99,-8.00,1.64,APPLIED,
NBA ShootOut 2001 - PS2 Game,Playstation 2,game only,loose,ebay(55),6.48,6.59,8.99,2.40,1.95,APPLIED,
NBA ShootOut 2001 - PS2 Game,Playstation 2,complete (cib),cib,ebay(10),9.20,10.99,12.99,2.00,3.11,APPLIED,
NBA ShootOut 2002 - PS1 Game,Playstation,game only,loose,ebay(43),7.31,8.13,9.99,1.86,2.09,APPLIED,
NBA ShootOut 2002 - PS1 Game,Playstation,complete (cib),cib,ebay(8),10.56,13.99,14.99,1.00,3.70,APPLIED,
NBA ShootOut 97 - PS1 Game,Playstation,game only,loose,ebay(64),6.44,9.46,8.99,-0.47,1.99,NO_CHANGE,
NBA ShootOut 97 - PS1 Game,Playstation,complete (cib),cib,ebay(17),8.90,16.99,12.99,-4.00,3.41,APPLIED,
NBA ShootOut 98 - PS1 Game,Playstation,game only,loose,ebay(57),6.64,9.41,8.99,-0.42,1.79,NO_CHANGE,
NBA ShootOut 98 - PS1 Game,Playstation,complete (cib),cib,ebay(13),8.27,15.99,11.99,-4.00,3.07,APPLIED,
NBA Street Vol 2 - Gamecube Game,Gamecube,game only,loose,pc,32.46,43.99,43.99,0.00,9.95,NO_CHANGE,
NBA Street Vol 2 - Gamecube Game,Gamecube,complete (cib),cib,pc,35.99,48.99,48.99,0.00,11.28,NO_CHANGE,
NBA Street Vol 2 - Xbox Game,Xbox,game only,loose,pc,11.58,16.15,15.99,-0.16,3.65,NO_CHANGE,
NBA Street Vol 2 - Xbox Game,Xbox,complete (cib),cib,pc,14.48,19.99,19.99,0.00,4.63,NO_CHANGE,
NBA Street Vol 3 - Gamecube Game,Gamecube,game only,loose,pc,29.99,49.99,40.99,-9.00,9.51,APPLIED,
NBA Street Vol 3 - Gamecube Game,Gamecube,complete (cib),cib,pc,47.25,88.99,63.99,-25.00,14.58,APPLIED,
NBA Street Vol 3 - Xbox Game,Xbox,game only,loose,pc,7.09,13.39,9.99,-3.40,2.31,APPLIED,
NBA Street Vol 3 - Xbox Game,Xbox,complete (cib),cib,pc,12.73,23.99,17.99,-6.00,4.44,APPLIED,
NCAA Basketball 09 - PS2 Game,Playstation 2,game only,loose,ebay(30),11.63,16.09,15.99,-0.10,3.60,NO_CHANGE,
NCAA Basketball 09 - PS2 Game,Playstation 2,complete (cib),cib,ebay(4),13.65,27.99,18.99,-9.00,4.49,APPLIED,
NCAA Basketball Final Four 97 - PS1 Game,Playstation,game only,loose,pc,5.96,8.89,8.99,0.10,2.47,NO_CHANGE,
NCAA Basketball Final Four 97 - PS1 Game,Playstation,complete (cib),cib,pc,9.12,15.99,12.99,-3.00,3.19,APPLIED,
NCAA College Basketball 2K3 - Xbox Game,Xbox,game only,loose,ebay(49),7.31,8.05,9.99,1.94,2.09,APPLIED,
NCAA College Basketball 2K3 - Xbox Game,Xbox,complete (cib),cib,ebay(21),6.90,13.99,9.99,-4.00,2.50,APPLIED,
NCAA College Football 2K3 - Gamecube Game,Gamecube,game only,loose,ebay(47),9.19,12.82,12.99,0.17,3.12,NO_CHANGE,
NCAA College Football 2K3 - Gamecube Game,Gamecube,complete (cib),cib,ebay(18),11.96,22.99,16.99,-6.00,4.24,APPLIED,
NCAA Final Four 2000 - PS1 Game,Playstation,game only,loose,pc,3.18,8.93,4.99,-3.94,1.37,APPLIED,
NCAA Final Four 2000 - PS1 Game,Playstation,complete (cib),cib,pc,8.41,15.99,11.99,-4.00,2.93,APPLIED,
NCAA Final Four 2001 - PS2 Game,Playstation 2,game only,loose,pc,4.95,4.92,6.99,2.07,1.54,APPLIED,
